Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"RS0011-1, 0011-1",Atmosphere (2),Overcast EP,"Rhymesayers Entertainment, Rhymesayers Entertainment","12"", EP, RE",,2006,1598299,Hip-Hop,2019-01-04 21:53:56,Near Mint (NM or M-),Very Good Plus (VG+),
"RSE0320-1A, RSE0320-1B",Atmosphere (2),God's Bathroom Floor,"Rhymesayers Entertainment, Rhymesayers Entertainment","7"", Ltd",,2021,17569753,45 Hip-Hop/Instrumental,2021-03-02 14:23:47,Mint (M),Mint (M),
SNX001,Mndsgn,Snax,Ringgo Records,"LP, Mixtape",,2018,12132155,Instrumental/Beats,2018-12-22 00:21:15,Mint (M),Mint (M),
1-654153,Turnstile (2),Glow On,Roadrunner Records,"LP, Album, RP",,2022,21927796,Punk/HxC,2023-01-22 23:44:58,Mint (M),Mint (M),
DEF 226-1,Jay-Z,A Million And One Questions,Roc-A-Fella Records (2),"12"", Unofficial",,0,3224097,"12"" Hip-Hop",2019-01-03 00:03:25,Near Mint (NM or M-),Very Good (VG),
P1 50592,Jay-Z,Reasonable Doubt,"Roc-A-Fella Records, Freeze Records, Priority Records","2xLP, Album",,1996,227021,Hip-Hop,2019-01-04 22:02:07,Near Mint (NM or M-),Near Mint (NM or M-),
RUSLP 8223,Bad Brains,Bad Brains,ROIR,"LP, Album, RE, RM",,1997,1374939,Punk/HxC,2018-08-15 01:20:34,Near Mint (NM or M-),Near Mint (NM or M-),
"7243 8 47867 1 7, 7243-8-47867-1-7",The Rolling Stones,Some Girls,"Rolling Stones Records, Virgin","LP, Album, RE, HQ-",,1994,1469779,70's Rock,2018-08-13 21:19:43,Very Good Plus (VG+),Very Good Plus (VG+),
RD 004,Breakestra,Boogie Blessed,Root Down (2),"7"", Promo",,2012,4159038,45 Funk/Soul,2018-12-21 20:50:42,Mint (M),Mint (M),
RISLP-14003,Hurricane Fifi,Stop Telling Lies,Rossil,"LP, Album",,1978,1883756,French,2023-03-06 23:50:37,Very Good Plus (VG+),Good Plus (G+),
GG - 20,The Flamingos,I Only Have Eyes For You / Love Walked In,Roulette,"7"", Single, RE, Styrene",,0,2347996,45 60's/70's R&B,2023-07-27 14:27:19,Very Good Plus (VG+),Generic,
R-7028,Tommy James & The Shondells,Crimson And Clover,Roulette,"7"", Single, Hol",,1968,5432694,45 60's Rock,2023-06-08 17:40:05,Very Good Plus (VG+),Generic,
R-7050,Tommy James & The Shondells,Crystal Blue Persuasion,Roulette,"7"", Single, Roc",,1969,1332408,45 60's Rock,2023-06-28 22:20:25,Very Good Plus (VG+),Generic,
75444-35041-1,Monica,Don't Take It Personal (Just One Of Dem Days),Rowdy Records,"12""",,1995,302092,"12"" 90's R&B",2019-01-02 23:59:53,Very Good Plus (VG+),Very Good (VG),
RFC 014,Title Fight,The Last Thing You Forget,Run For Cover Records (2),"7"", RP",,2020,16755750,45 Punk/Emo,2022-03-08 17:32:15,Mint (M),Mint (M),
RFC-155,Teen Suicide,Bonus EP,Run For Cover Records (2),"12"", EP, Ltd, Red",,2016,9499459,Contemporary Emo,2018-08-13 22:38:16,Near Mint (NM or M-),Near Mint (NM or M-),
RFC: 104,Tigers Jaw,Charmer,Run For Cover Records (2),"LP, Album, Lig",,2014,5646594,Contemporary Emo,2018-12-24 01:15:24,Near Mint (NM or M-),Near Mint (NM or M-),
RFC:043,Basement (4),I Wish I Could Stay Here,Run For Cover Records (2),"LP, Album, RP, Red",,2015,7916511,Contemporary Emo,2018-08-13 23:32:56,Near Mint (NM or M-),Near Mint (NM or M-),
RFC122,Turnover (3),Peripheral Vision,Run For Cover Records (2),"LP, Album, Mag",,2015,15291418,Contemporary Emo,2021-06-26 15:25:02,Mint (M),Mint (M),
RFC154,Alex G (2),DSU,Run For Cover Records (2),"LP, Album, RE, Gol",,2016,9086913,Indie/Alternative,2021-03-06 15:06:45,Mint (M),Mint (M),
ROGV-051,Baby Huey,The Baby Huey Story / The Living Legend,"Run Out Groove, Curtom","2xLP, Album, RSD, Dlx, Ltd, RE",,2018,11896001,Funk/Soul,2018-08-08 03:10:52,Near Mint (NM or M-),Near Mint (NM or M-),
WK25417,Bone Thugs-N-Harmony,Greatest Hits Volume One,Ruthless Records,"2xLP, Comp, 180 + CD, Comp",,2009,3946699,Hip-Hop,2021-02-04 10:55:44,Mint (M),Mint (M),
SBR-234,Black Marble,Bigger Than Life,Sacred Bones Records,"LP, Album, Ltd, Red",,2019,15187841,Indie/Alternative,2022-07-01 21:32:37,Mint (M),Mint (M),
SBR-3030,Mort Garson,Mother Earth's Plantasia,Sacred Bones Records,"LP, Album, RE",,2019,13386167,Soundtrack,2021-09-07 13:33:30,Mint (M),Mint (M),
LP522,The Sun Ra Arkestra,The Night Of The Purple Moon,Saturn Research,"LP, Album, RE",,0,6759048,Jazz,2021-09-23 16:25:19,Mint (M),Mint (M),
1211,The Shirelles,Will You Love Me Tomorrow / Boys,Scepter Records,"7"", Single",,1960,14171919,45 60's/70's R&B,2023-02-21 22:45:16,Good Plus (G+),Generic,
1234,The Shirelles,"Welcome Home Baby / Mama, Here Comes The Bride",Scepter Records,"7"", Single",,1962,1780919,45 60's/70's R&B,2020-11-17 07:33:31,Very Good (VG),Generic,
SB-1048,Delegation,Oh Honey / Let Me Take You To The Sun,"Shadybrook Records, State Records (3)","7"", Single, Styrene, Ter",,1978,1515959,45 Funk/Soul,2020-11-22 05:46:22,Near Mint (NM or M-),Generic,
SD1441-1,Title Fight,Shed,SideOneDummy Records,"LP, Album",,2011,2885498,Contemporary Emo,2018-08-15 02:12:11,Near Mint (NM or M-),Near Mint (NM or M-),
SD1509-1,Title Fight,Floral Green,SideOneDummy Records,"LP, Album",,2012,4146204,Contemporary Emo,2018-08-15 02:19:05,Near Mint (NM or M-),Near Mint (NM or M-),
LYN-007,Homeshake,Midnight Snack,Sinderlyn,"LP, Album",,2015,7523151,Electronic,2020-01-02 02:30:26,Mint (M),Mint (M),
LYN-023,Homeshake,Fresh Air,Sinderlyn,"LP, Album",,2017,9696804,Indie/Alternative,2018-08-13 22:26:17,Near Mint (NM or M-),Near Mint (NM or M-),
GSRE 0479,Talking Heads,Burning Down The House / This Must Be The Place (Naive Melody),Sire,"7""",,0,417410,45 Rock/Alternative,2023-06-14 22:15:12,Near Mint (NM or M-),Mint (M),
SR 6036,Talking Heads,Talking Heads: 77,Sire,"LP, Album, Los",,1977,192870,New Wave,2018-10-11 00:49:19,Near Mint (NM or M-),Very Good Plus (VG+),
"1-23883, 9 23883-1",Talking Heads,Speaking In Tongues,"Sire, Sire","LP, Album, Win",,1983,170719,New Wave,2018-10-11 01:02:54,Near Mint (NM or M-),Near Mint (NM or M-),
GSRE 0435,Soft Cell,Tainted Love / Where Did Our Love Go / What!,"Sire, Some Bizzare","7""",,1987,3465470,45 70's/80's Rock,2023-06-23 21:47:45,Very Good Plus (VG+),Generic,
1-23845,Violent Femmes,Violent Femmes,Slash,"LP, Album",,1983,5872494,80's Rock,2019-10-10 05:50:22,Very Good Plus (VG+),Very Good Plus (VG+),
S 2008,James Brown,Try Me / Papa's Got A Brand New Bag ,Smash Records (4),"7""",,1965,7535022,45 Funk/Soul,2023-02-23 15:43:59,Good Plus (G+),Generic,
S-2041,The Left Banke,Walk Away Renee / I Haven't Got The Nerve,Smash Records (4),"7"", Single, Roc",,1966,4111612,45 60's Rock,2018-12-21 19:42:32,Near Mint (NM or M-),Very Good Plus (VG+),
SR015,Weed (5),Born Wrong Love,Smoking Room,"12"", Album, Ltd, Whi",,2017,10030299,Indie/Alternative,2018-08-13 23:44:01,Near Mint (NM or M-),Near Mint (NM or M-),
SRS004,Sidney Miller (2),Linguas De Fogo,Sol Re Sol Records,"LP, Album, RE",,2015,7037796,Brazilian,2018-11-23 21:49:50,Mint (M),Mint (M),
YB-12127,Dynasty,Do Me Right / Adventures In The Land Of Music,Solar,"7""",,1980,1907507,45 Funk/Soul,2023-06-08 17:44:21,Very Good (VG),Generic,
SS 18066,Candido,Thousand Finger Man,Solid State Records (2),"LP, Album, RE, Gat",,2006,2494242,Latin Funk,2022-07-28 22:00:26,Mint (M),Mint (M),
88985391771,The Clash,Combat Rock,"Sony Music, Legacy","LP, Album, RE, RM, 180",,2017,10097378,Punk/HxC,2020-01-08 08:25:36,Mint (M),Mint (M),
SSR 207,The Jimmy Castor Bunch,Soopastole Edits Vol 7,Soopastole,"7"", Promo, Unofficial",,2017,11184641,45 Funk/Soul,2023-01-06 18:37:58,Mint (M),Generic,
SSR 207,The Jimmy Castor Bunch,Soopastole Edits Vol 7,Soopastole,"7"", Promo, Unofficial",,2017,11184641,45 Funk/Soul,2023-01-06 18:38:35,Mint (M),Generic,
SCR-772,The Fifth Dimension,Medley: Aquarius / Let The Sunshine In / The Flesh Failures,Soul City (2),"7"", Single",,1969,649879,45 60's/70's R&B,2023-06-11 01:04:19,Good Plus (G+),,
SJR 468 BOX,Various,Funk 70,Soul Jazz Records,"5x7"", RSD, Mono, Ltd, RM + Box, Comp, Ltd, RM",,2021,19464163,45 Funk/Soul,2023-02-18 21:15:42,Mint (M),,
SJR LP405,Various,Brasil,Soul Jazz Records,"LP, Album, RE, RM",,2018,11483541,Brazilian,2018-08-08 00:59:09,Near Mint (NM or M-),Near Mint (NM or M-),
SJR LP497,The Winstons,Color Him Father,Soul Jazz Records,"LP, Album, RE + 12"", S/Sided + Ltd",,2022,21964954,Funk/Soul,2022-05-26 20:49:22,Mint (M),Mint (M),
SJR LP502,Various,Studio One Women Vol. 2,Soul Jazz Records,"2xLP, Comp",,2022,23271026,Reggae,2022-07-13 17:37:21,Mint (M),Mint (M),
SJR LP517C,Various,200% Dynamite!,Soul Jazz Records,"2xLP, RSD, Comp, Ltd, RE, Red",,2023,26841065,Reggae,2023-04-26 21:17:49,Mint (M),Mint (M),
SJR477-12,Dawn Penn / Dub Specialist,No No No / Creator Version,Soul Jazz Records,"12"", Single, RM",,2022,22874276,Reggae,2022-06-30 20:55:46,Mint (M),,
LPS 3317,African Music Machine,Black Water Gold,Soul Power,"LP, Album, Comp",,2000,617188,African,2018-08-08 02:27:51,Near Mint (NM or M-),Near Mint (NM or M-),
SSR45002,Soul Supreme (4),Raid / Huit Octobre 1971,Soul Supreme Records,"7"", Single",,2021,17413201,45 Funk/Soul,2021-04-03 21:38:20,Mint (M),Mint (M),
SNDWLP087,Various,"Doing It In Lagos (Boogie, Pop & Disco In 1980s Nigeria)",Soundway,"3xLP, Comp + 7"", Comp",,2016,9425519,African,2023-04-01 23:11:17,Mint (M),Mint (M),
SNDWLP146,Steve Monite,Only You,Soundway,"LP, Album, RE, RM",,2022,25267285,African,2022-12-09 22:19:51,Mint (M),Mint (M),
SNDWLP151,Various,Padang Moonrise (The Birth Of The Modern Indonesian Recording Industry ⋆ 1955-69),Soundway,"2xLP, Comp + 7""",,2022,25191349,Uncategorized,2022-12-09 22:22:07,Mint (M),Mint (M),
SGP001,Mad Honey,Upward Bound,Space Grapes,"12""",,2020,16208682,"12"" Funk/Soul",2021-01-16 19:03:26,Near Mint (NM or M-),Near Mint (NM or M-),
SPITTLEDD04,Various,Fuzz Dance Classics Over The World,Spittle Depandance,"LP, Comp",,2022,24736871,Electronic,2023-01-22 23:15:29,Mint (M),Mint (M),
SPITTLE 146,Various,Italia Synthetica 1981～1985,Spittle Records,"LP, Comp, RP, Whi",,2023,27197676,New Wave,2023-06-01 01:04:14,Mint (M),Mint (M),
spittle31,Various,"Italia New Wave [Minimal Synth, No Wave & Post Punk Sounds From The 80's Italian Underground]",Spittle Records,"LP, Comp, Tra",,2022,24548768,New Wave,2023-04-20 23:09:34,Mint (M),Mint (M),
SPR 147,Millie Jackson,How Do You Feel The Morning After / In The Wash,Spring Records,"7""",,1974,2321320,45 Funk/Soul,2023-07-08 19:01:24,Near Mint (NM or M-),Generic,
SRC050,The Starting Line,Say It Like You Mean It,SRC Vinyl,"LP, Gre + LP, S/Sided, Etch, Blu + Album, RE",,2014,8654559,2000s Emo,2018-08-15 02:06:47,Mint (M),Mint (M),
SST 023,Black Flag,My War,SST Records,"LP, Album, RE",,0,3689267,Punk/HxC,2019-04-14 22:17:30,Mint (M),Mint (M),
SC1235,Various,The Chicago Boogie Volume 3: Set It Out,Star Creature,"12"", Comp, Ltd",,2022,24023975,Funk/Soul,2023-07-13 18:50:25,Very Good Plus (VG+),Very Good Plus (VG+),
SC7027,Family of Geniuses,Let's Not Start A Fight (Let's Get Down Tonight) / Do Me Like That,Star Creature,"7""",,2018,12042198,45 Funk/Soul,2020-11-22 05:58:07,Near Mint (NM or M-),Near Mint (NM or M-),
82876-51295-1,Various,The Neptunes Present... Clones,Star Trak Entertainment,"2xLP, Album",,2003,229204,Hip-Hop,2019-01-04 20:38:29,Near Mint (NM or M-),Very Good Plus (VG+),
B0028461-01,N*E*R*D,Seeing Sounds,"Star Trak Entertainment, Interscope Records, UMe","2xLP, Album, Ltd, RE, Red",,2018,12933628,2000s R&B,2020-03-09 06:12:53,Mint (M),Mint (M),
STA-0010,Rufus Thomas,Funky Mississippi / So Hard To Get Along With,Stax,"7"", Single, Styrene, Pit",,1968,5933403,45 Funk/Soul,2023-07-08 19:01:24,Near Mint (NM or M-),Generic,
STS-3001,Melvin Van Peebles,Sweet Sweetback's Baadasssss Song (An Opera),Stax,"LP, Album, Club, Gat",,1971,7417508,Soundtrack,2021-09-23 16:41:08,Good Plus (G+),Fair (F),
STX-1047,Isaac Hayes,"Theme From ""Shaft"" / Theme From ""The Men"" (Instrumental)",Stax,"7""",,1977,8256847,45 Funk/Soul,2023-02-02 22:13:17,Near Mint (NM or M-),Generic,
CR00513,Albert King,Born Under A Bad Sign,"Stax, Craft Recordings","LP, Album, RE, 180",,2023,26827217,Funk/Soul,2023-05-24 22:38:50,Near Mint (NM or M-),Near Mint (NM or M-),
SHR001,Cende,Ep,Steakhouse Records (2),"7"", EP",,2016,8377265,45 Punk/Emo,2018-12-21 20:54:22,Mint (M),Mint (M),
 STH2326,Quasimoto,Yessir Whatever,Stones Throw Records,"LP, Comp, RE, Yel",,2021,17233639,Hip-Hop,2021-03-21 15:08:06,Mint (M),Mint (M),
STH 2170,Madlib The Beat Konducta,Vol. 3: Beat Konducta In India (Raw Ground Wire Hump),Stones Throw Records,"LP, Album",,2007,1012873,Instrumental/Beats,2021-03-21 15:00:00,Mint (M),Mint (M),
STH 2204,Madlib The Beat Konducta,Vol. 6: Dil Withers Suite,Stones Throw Records,"LP, Album",,2008,1494817,Instrumental/Beats,2021-08-07 19:07:10,Mint (M),Mint (M),
STH2025,Quasimoto,The Unseen,Stones Throw Records,"2xLP, Album, RE",,2021,17801104,Hip-Hop,2021-12-08 15:00:34,Mint (M),Mint (M),
STH2065,Madvillain,Madvillainy,Stones Throw Records,"2xLP, Album, RP",,2016,10632973,Hip-Hop,2019-09-22 01:39:04,Mint (M),Mint (M),
STH2110,Quasimoto,The Further Adventures Of Lord Quas,Stones Throw Records,"2xLP, Album, RE",,2021,16840950,Hip-Hop,2021-03-21 15:09:49,Mint (M),Mint (M),
STH2116,Quasimoto,Further Instrumentals,Stones Throw Records,"2xLP, Album, RP",,2013,4689320,Instrumental/Beats,2020-07-11 03:46:19,Mint (M),Mint (M),
STH2126,J Dilla,Donuts,Stones Throw Records,"2x12"", Album",,2006,619872,Instrumental/Beats,2019-01-04 20:34:31,Near Mint (NM or M-),Very Good Plus (VG+),
STH2219,Mayer Hawthorne,A Strange Arrangement,Stones Throw Records,"2xLP, Album",,2009,3446930,Modern R&B,2020-01-08 08:20:05,Mint (M),Mint (M),
STH2250,Mayer Hawthorne,I Need You,Stones Throw Records,"12"", S/Sided, Etch",,2010,2394795,"12"" Funk/Soul",2019-01-03 00:00:41,Near Mint (NM or M-),Very Good Plus (VG+),
STH2381LP,Gabriel Garzón-Montano,Jardín,Stones Throw Records,"LP, Album",,2017,9735088,Modern R&B,2018-08-08 04:17:54,Near Mint (NM or M-),Near Mint (NM or M-),
STH2389,NxWorries,Yes Lawd! Remixes,Stones Throw Records,"LP, Album",,2017,11183378,Hip-Hop,2018-12-22 00:22:47,Mint (M),Mint (M),
STH2396,Rejoicer,Energy Dreams,Stones Throw Records,"LP, Album",,2018,12426537,Instrumental/Beats,2018-09-17 23:17:25,Mint (M),Mint (M),
STH2398,Kiefer Shackelford,Happysad,Stones Throw Records,"LP, Ltd, Cle",,2018,12085559,Instrumental/Beats,2018-12-22 00:29:13,Mint (M),Near Mint (NM or M-),
STH2429,John Carroll Kirby,Septet,Stones Throw Records,"2xLP, Album",,2021,19025830,New Jazz,2021-06-22 09:07:39,Mint (M),Mint (M),
STH7028,Mayer Hawthorne & The County,Just Ain't Gonna Work Out / When I Said Goodbye,Stones Throw Records,"7"", Shape, Red",,2008,1536624,45 Funk/Soul,2018-12-21 20:57:29,Very Good Plus (VG+),Very Good Plus (VG+),
STH7028,Mayer Hawthorne & The County,Just Ain't Gonna Work Out / When I Said Goodbye,Stones Throw Records,"7"", Shape, Red",,2008,1536624,45 Funk/Soul,2023-07-02 00:59:23,Near Mint (NM or M-),Near Mint (NM or M-),
STH7064,Gabriel Garzón-Montano,Golden Wings,Stones Throw Records,"7"", Single",,2018,11929750,45 Funk/Soul,2019-10-14 01:09:51,Mint (M),Near Mint (NM or M-),
STH7076,Benny Sings,Rolled Up,Stones Throw Records,"7""",,2021,17650285,45 Rock/Alternative,2023-06-24 20:13:23,Mint (M),Near Mint (NM or M-),
STH2248,J Dilla,Donut Shop,"Stones Throw Records, Serato Pressings","2x12"", Ltd",,2010,2333454,"12"" Hip-Hop",2019-01-03 00:55:57,Near Mint (NM or M-),Near Mint (NM or M-),
"STH 2062, STH2062",Jaylib,Champion Sound,"Stones Throw Records, Stones Throw Records","2xLP, Album, RE",,2009,1847821,Hip-Hop,2021-02-04 10:04:41,Mint (M),Mint (M),
"STH2065, STH2099",Madvillain,Madvillainy Instrumentals,"Stones Throw Records, Stones Throw Records","2xLP, Album, RE",,2021,18883501,Instrumental/Beats,2021-08-26 19:26:12,Mint (M),Mint (M),
"STH2409-1, STH 2409",knxwledge,1988,"Stones Throw Records, Stones Throw Records","LP, Album",,2020,15059206,Instrumental/Beats,2020-04-30 03:08:30,Mint (M),Mint (M),
SK4501,Warren G Feat. Nate Dogg / Luniz Feat. Michael Marshall,Regulate / I Got 5 On It,Street Knowledge (5),"7"", Unofficial",,2019,14428159,45 Hip-Hop/Instrumental,2023-05-24 23:02:16,Near Mint (NM or M-),Near Mint (NM or M-),
SB-9815,Various,The Notorious B.I.G. Collection,Strictly Breaks Records,"2xLP, Comp, Unofficial",,2005,798850,Funk/Soul,2018-08-08 22:47:17,Near Mint (NM or M-),Very Good Plus (VG+),
STRUT 157LP ,Mulatu Astatke & His Ethiopian Quintet,Afro-Latin Soul Vol. 2,Strut,"LP, Album, RE, RM",,2018,12252325,African,2018-10-08 18:44:08,Mint (M),Mint (M),
STRUT073LP,Ebo Taylor,Love And Death,Strut,"2xLP, Album",,2010,2483698,African,2023-01-27 22:16:35,Mint (M),Mint (M),
STRUT184LP,The Beginning Of The End,Funky Nassau,Strut,"LP, Album, RE, RM",,2018,12088414,Funk/Soul,2018-11-11 22:48:20,Mint (M),Mint (M),
STRUT205LP,Patrice Rushen,Remind Me (The Classic Elektra Recordings 1978-1984),Strut,"3xLP, Comp, RM",,2019,13895640,Funk/Soul,2021-06-17 16:58:09,Mint (M),Mint (M),
STRUT254LP,Southern Energy Ensemble,Southern Energy,Strut,"LP, Album, RE, RM",,2021,19314244,Funk/Soul,2023-04-01 23:24:52,Mint (M),Mint (M),
STRUT146LP,The Sun Ra Arkestra,Discipline 27-II,"Strut, Art Yard","LP, Album, RSD, RE, RM",,2017,10174352,Jazz,2018-08-08 01:45:38,Near Mint (NM or M-),Near Mint (NM or M-),
STRUT237LP,Sun Ra,Lanquidity,"Strut, Art Yard, Philly Jazz (3)","LP, Album, RE",,2021,20234446,Jazz,2022-11-04 19:43:04,Mint (M),Mint (M),
VNL 12211 LP,Miles Davis,Porgy And Bess,Studio Media (3),"LP, Album, RE, 180",,2016,7152016,Jazz,2021-08-07 19:40:10,Mint (M),Mint (M),
SUS002,Gabriel Garzón-Montano,Bishouné: Alma Del Huila,Styles Upon Styles,"12"", EP",,2014,5435886,Modern R&B,2018-08-08 04:14:06,Near Mint (NM or M-),Near Mint (NM or M-),
SP 1055,Washed Out,Paracosm,Sub Pop,"LP, Album",,2013,5815616,Indie/Alternative,2018-08-13 22:36:09,Near Mint (NM or M-),Very Good Plus (VG+),
SP 595,The Postal Service,Give Up,Sub Pop,"LP, Album + LP, Comp + RE, RM, RP",,2007,1229444,Electronic,2018-08-13 23:00:50,Very Good Plus (VG+),Very Good Plus (VG+),
SP 745,Band Of Horses,Cease To Begin,Sub Pop,"LP, Album",,2007,1091142,Indie/Alternative,2018-08-15 01:43:50,Near Mint (NM or M-),Near Mint (NM or M-),
SP 945,Washed Out,Within And Without,Sub Pop,"LP, Album, Whi",,2011,2985227,Indie/Alternative,2018-08-13 22:41:59,Near Mint (NM or M-),Near Mint (NM or M-),
SP 965,Beach House,Bloom,Sub Pop,"2xLP, Album",,2012,3599039,Indie/Alternative,2018-10-11 01:59:19,Near Mint (NM or M-),Very Good Plus (VG+),
SP1122,Beach House,Depression Cherry ,Sub Pop,"LP, Album, RE, RP, Met",,2022,23478581,Indie/Alternative,2023-07-02 00:54:59,Mint (M),Mint (M),
SP1181,Father John Misty,Real Love Baby,Sub Pop,"7"", Single",,2017,10058415,45 Rock/Alternative,2018-12-21 20:00:12,Mint (M),Mint (M),
SP1240,Beach House,7,Sub Pop,"LP, Album",,2018,11975091,Indie/Alternative,2018-10-11 01:54:22,Mint (M),Mint (M),
"SP 845, SP845",Beach House,Teen Dream,"Sub Pop, Sub Pop","2xLP, Album + DVD-V, Multichannel, NTSC",,2010,2111843,Indie/Alternative,2018-10-11 01:57:25,Near Mint (NM or M-),Near Mint (NM or M-),
SH-32013,The Sequence,Where Are You Tonight / I Just Want To Know,Sugar Hill Records,"12""",,1983,1450124,Funk/Soul,2022-03-08 17:38:20,Near Mint (NM or M-),Near Mint (NM or M-),
S047LP,Minus The Bear,Menos El Oso,Suicide Squeeze,"LP, Album",,2005,994749,2000s Emo,2018-08-13 23:42:40,Near Mint (NM or M-),Near Mint (NM or M-),
LP 5172,Otis Redding,The Dock Of The Bay,Sundazed Music,"LP, Album, RE, 180",,2003,2570735,60's R&B,2018-08-11 01:20:42,Near Mint (NM or M-),Very Good Plus (VG+),
LP 5559,The Baroques,The Baroques,"Sundazed Music, Chess","LP, Album, Mono, Ltd, RE, Yel",,2017,11191211,60's Rock,2018-08-13 21:24:45,Near Mint (NM or M-),Near Mint (NM or M-),
LP 5375,The Left Banke,Walk Away Renée / Pretty Ballerina,"Sundazed Music, Smash Records (4)","LP, Album, RE, Ora",,2011,12310195,60's Rock,2018-08-24 01:04:54,Mint (M),Generic,
none,The Marías,Superclean Vol. I & Superclean Vol. II,Superclean Records,"LP, Comp, Ltd, Red",,2018,12930798,Indie/Alternative,2023-01-26 00:17:50,Mint (M),Mint (M),
SV093,Scientist,Introducing Scientist - The Best Dub Album In The World...,Superior Viaduct,"LP, Album, RE",,2015,7704578,Reggae,2023-01-31 16:31:05,Mint (M),Mint (M),
SV163,Scientist,In The Kingdom Of Dub,Superior Viaduct,"LP, Album, RE",,2018,12874724,Reggae,2023-04-20 23:24:11,Mint (M),Mint (M),
SVVRCH042,Willie Bobo,Bobo's Beat,Survival research,"LP, Album, RE",,2021,26317607,Latin Jazz,2023-04-26 21:09:59,Mint (M),Mint (M),
SVVRCH063,Tim Maia,Tim Maia,Survival research,"LP, Album, RE",,2022,24197504,Brazilian,2023-04-01 23:21:56,Mint (M),Mint (M),
SR-631,Dennis Coffey,Getting It On '75,Sussex,"7"", Single",,1974,12858140,45 Funk/Soul,2023-06-28 22:20:25,Near Mint (NM or M-),Generic,
SR-631,Dennis Coffey,Getting It On '75,Sussex,"7"", Single",,1974,12858140,45 Funk/Soul,2023-07-02 11:31:03,Very Good Plus (VG+),Generic,
SUX 226,Dennis Coffey And The Detroit Guitar Band,Scorpio,Sussex,"7"", Single, Styrene, Pit",,1971,2139173,45 Funk/Soul,2023-05-24 23:43:11,Very Good (VG),Generic,
SUX 226,Dennis Coffey And The Detroit Guitar Band,Scorpio,Sussex,"7"", Single, Styrene, Pit",,1971,2139173,45 Funk/Soul,2023-06-05 17:29:33,Very Good Plus (VG+),Generic,
SUX 227,Bill Withers,Grandma's Hands,Sussex,"7"", Single, Mono, ARP",,1971,4813625,45 Funk/Soul,2023-02-22 18:32:54,Very Good (VG),Generic,
"SRA-8027, SRA 8027",Creative Source,Creative Source,"Sussex, Sussex","LP, Album, Son",,1973,894732,Funk/Soul,2023-03-06 23:53:49,Very Good Plus (VG+),Good Plus (G+),
S-4152,The Beatles,She Loves You,Swan,"7"", Single",,1964,10499344,45 60's Rock,2023-02-22 16:19:40,Good (G),Generic,
FZ 36305,The Isley Brothers,Go All The Way,T-Neck,"LP, Album, San",,1980,1081890,80's R&B,2018-08-11 01:25:09,Good Plus (G+),Good Plus (G+),
TN 907,"Dave ""Baby"" Cortez",I Know Who You Been Socking It To / I Turned You On,T-Neck,"7"", Single, Promo, Styrene",,1969,1827045,45 Funk/Soul,2023-07-08 19:01:24,Very Good (VG),Generic,
TKD13062,Timmy Thomas,Why Can't We Live Together,T.K. Disco,"12"", RE",,2016,8121481,"12"" Funk/Soul",2021-02-25 19:55:09,Mint (M),Mint (M),
1018,The Sunshine Band,Rock Your Baby,T.K. Records,"7"", Promo",,1975,4183381,45 Funk/Soul,2023-02-02 22:04:47,Near Mint (NM or M-),Generic,
501 095 292-1,Marvin Gaye,I Want You,Tamla,"LP, Album, RE",,2009,1704980,Funk/Soul,2020-11-17 06:23:34,Near Mint (NM or M-),Near Mint (NM or M-),
T 54225F,The Miracles,I Can't Stand To See You Cry,Tamla,"7"", Single, Mono, Promo",,1972,5834433,45 Funk/Soul,2018-12-21 20:44:50,Near Mint (NM or M-),Generic,
T 54242F,Stevie Wonder,Living For The City,Tamla,"7"", Single, Styrene",,1973,8448186,45 Funk/Soul,2019-10-14 02:36:42,Very Good Plus (VG+),Generic,
T 54265 F,Smokey Robinson,Quiet Storm,Tamla,"7"", Single, Promo",,1975,8295573,45 60's/70's R&B,2023-02-22 19:22:56,Very Good (VG),Generic,
T 54280F,Marvin Gaye,Got To Give It Up (Part 1),Tamla,"7"", Single, Promo",,1977,6629958,45 Funk/Soul,2020-11-22 05:40:55,Very Good Plus (VG+),Generic,
T-54124,Stevie Wonder,Uptight (Everything's Alright),Tamla,"7"", Single",,1965,2878811,45 Funk/Soul,2023-02-22 23:02:05,Good Plus (G+),Generic,
T-54159,The Miracles,I Second That Emotion / You Must Be Love,Tamla,"7"", Single, Roc",,1967,2384278,45 60's/70's R&B,2018-12-21 20:51:46,Very Good Plus (VG+),Generic,
T-54161,Marvin Gaye & Tammi Terrell,If I Could Build My Whole World Around You,Tamla,"7"", Single, Styrene, Mon",,1967,6700254,45 60's/70's R&B,2018-12-21 20:06:47,Near Mint (NM or M-),Near Mint (NM or M-),
T-54161,Marvin Gaye & Tammi Terrell,If I Could Build My Whole World Around You,Tamla,"7"", Single, Styrene, Mon",,1967,6700254,45 60's/70's R&B,2023-04-26 21:24:10,Very Good Plus (VG+),Generic,
T-54303F,Stevie Wonder,Send One Your Love,Tamla,"7"", Single",,1979,12524700,45 Funk/Soul,2018-12-21 20:33:06,Near Mint (NM or M-),Generic,
